id,word_en,word_fr,example_en
2756,feed,"nourrir, alimenter, nourriture","She would always feed the birds in the garden every morning."
2757,keeps,"garde, maintient, continue","She keeps all her old letters in a beautiful wooden box."
2758,attracted,"attira, a attiré","She was immediately attracted to the quiet charm of the old village."
2759,muttered,"marmonna, a marmonné","She muttered a quiet apology and quickly left the room."
2760,forming,"formant, se formant","She was gradually forming a very clear picture of the whole situation."
2761,recognize,"reconnaître, identifier","She could recognize his handwriting immediately from across the room."
2762,realize,"réaliser, se rendre compte","She was beginning to realize the full extent of the challenge ahead."
2763,preparing,"préparant, se préparant","She was carefully preparing for the most important meeting of her career."
2764,rope,"corde, cordage","She tied the old rope tightly around the heavy wooden gate."
2765,individuals,"individus, personnes","Several very gifted individuals contributed to the success of the project."
2766,finish,"finir, terminer, finition","She worked through the night to finish the important report."
2767,stirred,"remua, émut, s'agita","Something deep inside her was quietly stirred by the beautiful music."
2768,churches,"églises","She visited many old churches during her long travels through the region."
2769,songs,"chansons, chants","She knew all the words to dozens of very old traditional songs."
2770,owed,"devait, était redevable","She felt she owed everything to her remarkably patient and wise mentor."
2771,pursuit,"poursuite, recherche","The pursuit of knowledge was her greatest and most enduring passion."
2772,performance,"performance, représentation","Her performance was met with a very long and warm standing ovation."
2773,slender,"mince, élancé, faible","She had a slender figure and moved with great natural elegance."
2774,motive,"motif, mobile, raison","She could find absolutely no clear motive for his strange behaviour."
2775,leads,"mène, dirige, pistes","Every new discovery leads her closer to the truth she seeks."
2776,civilization,civilisation,"She had a deep fascination with the rise and fall of ancient civilization."
2777,regards,"salutations, considère, égards","She sent her warmest regards to all her old friends."
2778,organized,"organisa, organisé","She organized the entire event with remarkable precision and efficiency."
2779,mostly,"principalement, surtout, la plupart du temps","She was mostly concerned with the welfare of those around her."
2780,depend,"dépendre, compter sur","You can always depend on her to do the right thing."
2781,recall,"se souvenir, rappeler","She could recall every detail of that extraordinary evening."
2782,resist,"résister, s'opposer","She found it very hard to resist the charm of the old city."
2783,handle,"gérer, poignée, manier","She knew exactly how to handle even the most difficult situations."
2784,lesson,"leçon, cours","She took an important lesson from every single difficulty she faced."
2785,discourse,"discours, débat, disserter","She engaged in a very stimulating discourse on the nature of art."
2786,enable,"permettre, rendre possible","Her new role would enable her to make a far greater contribution."
2787,offers,"offres, propose","The old city offers something new and beautiful around every corner."
2788,consists,"consiste, se compose","Her method consists of very careful observation and deep reflection."
2789,detail,"détail, précision, détailler","She paid very close attention to every last detail of the work."
2790,positive,"positif, certain, optimiste","She always tried to remain positive however difficult the situation."
2791,unexpected,"inattendu, imprévu","The news came as a very unexpected and very welcome surprise."
2792,tear,"larme, déchirer, déchirure","A single tear ran slowly and silently down her cheek."
2793,inch,"pouce, avancer lentement","She refused to budge a single inch on the matter of principle."
2794,refuge,"refuge, abri","She found great refuge from the world in her writing."
2795,wilt,"se faner, fléchir, tu veux (archaïque)","The flowers began to wilt in the intense afternoon heat."
2796,estimate,"estimation, estimer","Her estimate of the situation proved to be exactly correct."
2797,relieved,"soulagé, a soulagé","She was enormously relieved to hear that everyone was safe."
2798,feeble,"faible, chétif, insuffisant","She made a very feeble attempt to explain her long absence."
2799,tenderness,"tendresse, douceur","She spoke to the child with great warmth and genuine tenderness."
2800,absurd,"absurde, ridicule","The whole situation had become completely and utterly absurd."
2801,summoned,"convoqua, a appelé","She was summoned to appear before the committee the very next morning."
2802,succession,"succession, série","A rapid succession of very surprising events changed everything completely."
2803,concern,"préoccupation, inquiétude, concerner","Her main concern was always the wellbeing of those around her."
2804,drunk,"ivre, soul, bu","She had never once in her life been drunk."
2805,satisfy,"satisfaire, contenter","She found it very hard to satisfy her own extremely high standards."
2806,financial,"financier, pécuniaire","She handled all her financial affairs with great care and precision."
2807,copied,"copia, a copié","She carefully copied the old recipe into her new notebook."
2808,directions,"directions, instructions","She followed all the directions very carefully and arrived on time."
2809,blessing,"bénédiction, bienfait","She considered every new day to be a very precious blessing."
2810,thereby,"ainsi, de ce fait, par ce moyen","She worked very hard thereby earning the respect of everyone."
2811,cleared,"dégagea, éclaircit, autorisé","She cleared her desk before leaving the office for the very last time."
2812,administration,"administration, gestion","She spent many years working in public administration."
2813,specific,"spécifique, précis","She gave very specific instructions to avoid any possible confusion."
2814,agents,"agents, représentants","Several agents were sent to investigate the matter discreetly."
2815,indifferent,"indifférent, mediocre","She was never indifferent to the suffering of those around her."
2816,create,"créer, produire","She had a rare ability to create beauty out of very ordinary things."
2817,trip,"voyage, excursion, trébucher","She planned every detail of the trip with great care."
2818,approved,"approuva, approuvé","She approved the final version of the report without any changes."
2819,test,"test, épreuve, tester","She passed every test that life placed in front of her."
2820,awake,"éveillé, réveillé, se réveiller","She lay awake for a long time thinking about the difficult decision."
2821,beating,"battement, battant, correction","She could hear her own heart beating very loudly in the silence."
2822,gathering,"rassemblement, cueillette, rassemblant","A small gathering of old friends was held in her honour."
2823,precisely,"précisément, exactement","She arrived at precisely the right moment to prevent a disaster."
2824,losing,"perdant, en train de perdre","She was losing patience with the seemingly endless delays."
2825,gracious,"gracieux, aimable, bienveillant","She was always gracious and generous in her praise of others."
2826,finest,"le meilleur, le plus fin","She produced some of her finest work during those difficult years."
2827,treasure,"trésor, chérir","She kept every old letter as if it were a priceless treasure."
2828,merchant,"marchand, négociant","The old merchant had travelled to many distant countries."
2829,troubles,"problèmes, ennuis, peines","She faced her troubles with remarkable courage and quiet dignity."
2830,inferior,"inférieur, de qualité moindre","She never allowed anyone to make her feel inferior or small."
2831,graceful,"gracieux, élégant","She was a very graceful and naturally elegant dancer."
2832,cat,chat,"A small grey cat sat watching her from the garden wall."
2833,fun,"amusement, plaisir, amusant","She had an extraordinary ability to make everything fun."
2834,shoot,"tirer, pousser, tournage","She watched the young plant shoot up through the cold dark soil."
2835,victim,victime,"She refused to see herself as a victim of circumstances."
2836,lawyer,"avocat, juriste","She hired a very experienced and highly regarded lawyer."
2837,ceremony,"cérémonie","The ceremony was simple but very moving and beautifully conducted."
2838,ruined,"ruiné, détruit, abîmé","The unexpected news completely ruined her carefully laid plans."
2839,smell,"odeur, sentir","She loved the smell of old books and fresh morning coffee."
2840,purchase,"achat, acquérir","She thought very carefully before making any significant purchase."
2841,colored,"coloré, teinté","The old window was made of beautifully colored antique glass."
2842,altar,autel,"She placed fresh flowers on the old stone altar every Sunday."
2843,knocked,"frappa, renversé, heurté","She knocked gently at the old wooden door and waited."
2844,mutual,"mutuel, réciproque","They shared a very strong and genuine mutual admiration."
2845,involved,"impliqué, concerné, complexe","She was deeply involved in the running of the local community."
2846,astonishment,"étonnement, stupéfaction","She stared at the letter in complete and utter astonishment."
2847,construction,"construction, bâtiment","The construction of the new library took several long years."
2848,limbs,"membres, branches","She stretched her tired limbs after the very long train journey."
2849,structure,"structure, construction, structurer","She gave the whole project a very clear and solid structure."
2850,eaten,"mangé, rongé","She had eaten very little since hearing the unexpected news."
2851,shortly,"bientôt, sous peu, brièvement","She would be with them shortly as she was just finishing up."
2852,favorite,"favori, préféré","Her favorite place in the world was the old library by the river."
2853,suggest,"suggérer, proposer","She did not want to suggest anything without thinking it through properly."
2854,tones,"tons, teintes, tonalités","She spoke in very measured and carefully considered tones."
2855,attempts,"tentatives, essais, tente","She made several brave attempts before finally succeeding."
2856,maiden,"jeune fille, inaugural, vierge","The ship set off on its maiden voyage on a bright clear morning."
2857,wearing,"portant, qui use","She was wearing a simple but beautifully cut pale blue dress."
2858,convey,"transmettre, exprimer, transporter","She found it hard to convey exactly how deeply she felt."
2859,absent,"absent, distrait","She was physically present but her thoughts were completely absent."
2860,basis,"base, fondement","She built every argument on a very solid and well-researched basis."
2861,elected,"élu, a élu","She was unanimously elected chair of the important committee."
2862,teacher,"professeur, enseignant","She was considered the most inspiring teacher in the whole school."
2863,demands,"exigences, demandes, exige","She always met the most demanding demands with great composure."
2864,criminal,"criminel, délictueux","She was deeply shocked to discover the full extent of the criminal scheme."
2865,alteration,"modification, changement","She made only one small but very significant alteration to the text."
2866,steep,"raide, escarpé, excessif","She climbed the very steep path to the top without stopping once."
2867,locked,"fermé à clé, verrouillé","She checked three times that the door was properly locked."
2868,training,"formation, entraînement","She underwent months of very intensive training before the event."
2869,exquisite,"exquis, raffiné","She arranged the flowers with exquisite care and great attention."
2870,feast,"festin, fête, se régaler","She prepared a magnificent feast for the entire extended family."
2871,theatre,"théâtre","She had loved the theatre from her very earliest childhood."
2872,resources,"ressources, moyens","She managed her limited resources with remarkable skill and care."
2873,happens,"arrive, se passe","Something extraordinary seems to happen whenever she enters the room."
2874,claimed,"prétendit, a revendiqué","She claimed to have no knowledge of the strange disappearance."
2875,earliest,"le plus tôt, premier","From her earliest childhood she had shown a gift for writing."
2876,prosperity,"prospérité, richesse","She hoped to bring prosperity and opportunity to her whole community."
2877,fancied,"crut, s'imagina, apprécia","She fancied she could hear distant music through the open window."
2878,ventured,"s'aventura, osa","She ventured a very quiet and tentative opinion on the matter."
2879,indignation,"indignation, colère","She expressed her deep indignation at the very unjust treatment."
2880,adventure,aventure,"She approached every new experience as a wonderful adventure."
2881,depths,"profondeurs, tréfonds","She explored the hidden depths of the old subject with great passion."
2882,employment,"emploi, travail, occupation","She found very satisfying employment in the field of education."
2883,passionate,"passionné, ardent","She was deeply passionate about literature and all the creative arts."
2884,converted,"converti, transformé","She converted the old barn into a beautiful and comfortable studio."
2885,jealous,"jaloux, envieux","She was never jealous of others and celebrated their success warmly."
2886,groups,"groupes, ensembles","She worked with several different groups on the important new project."
2887,novel,"roman, nouveau, original","She published her first novel to great and widespread critical acclaim."
2888,conceal,"dissimuler, cacher","She found it increasingly difficult to conceal her growing excitement."
2889,silly,"sot, idiot, absurde","She laughed at how silly the whole misunderstanding had been."
2890,Christianity,christianisme,"She studied the history of Christianity with great academic rigour."
2891,accepting,"acceptant, tolérant","She was very accepting of people whatever their background."
2892,gallant,"galant, courageux, vaillant","He was a very gallant and considerate gentleman in every way."
2893,grows,"grandit, pousse, augmente","Her confidence grows stronger with every new challenge she faces."
2894,intercourse,"relations, échanges","There was a great deal of very lively intellectual intercourse at the gathering."
2895,badly,"mal, gravement","She was very badly affected by the unexpected and sad news."
2896,estimated,"estima, estimé","She estimated the whole journey would take at least three days."
2897,obedience,"obéissance, soumission","She commanded the deep obedience and respect of her entire team."
2898,enterprise,"entreprise, initiative","She admired the boldness and courage of the whole enterprise."
2899,captured,"captura, a capturé","She captured the mood of the whole era beautifully in her writing."
2900,fury,"fureur, rage, violence","She faced the full fury of the storm with remarkable calm."
2901,stout,"robuste, corpulent, solide","She wore a pair of stout walking boots for the long mountain path."
2902,responsible,"responsable, sérieux","She was considered a very responsible and reliable member of the team."
2903,accompany,accompagner,"She offered to accompany him to the very important meeting."
2904,propose,"proposer, avoir l'intention","She decided to propose a very different and bold approach."
2905,someone,"quelqu'un","Someone had thoughtfully left flowers on her desk that morning."
2906,assume,"supposer, assumer","She did not want to assume anything without checking the facts first."
2907,cure,"remède, guérison, guérir","She believed that kindness was the cure for many of life's difficulties."
2908,misfortune,"malheur, infortune","She bore every misfortune with great dignity and without complaint."
2909,occupation,"occupation, métier, activité","Her main occupation was writing but she had many other interests."
2910,limits,"limites, frontières, limite","She always pushed the limits of what was considered possible."
2911,pretended,"fit semblant, prétendit","She pretended not to notice the mistake and said nothing at all."
2912,autumn,automne,"She always felt a particular joy at the first signs of autumn."
2913,sighed,"soupira, a soupiré","She sighed deeply and put down the pen with a quiet smile."
2914,missed,"manqua, a manqué, regretta","She deeply missed the long walks she had taken every morning."
2915,privilege,"privilège, honneur","She considered it a great privilege to serve her whole community."
2916,rolling,"roulant, ondulant, vallonné","She loved the view of the rolling hills from her cottage window."
2917,simplicity,"simplicité, sobriété","She admired the elegant simplicity of the old stone building."
2918,risen,"levé, monté, ressuscité","She had risen early and already walked several miles by breakfast."
2919,determination,"détermination, résolution","Her determination to succeed was an inspiration to everyone around her."
2920,extensive,"étendu, vaste, approfondi","She undertook a very extensive programme of research and reading."
2921,crept,"rampa, se glissa","She crept quietly out of the house before anyone else had woken."
2922,consisted,"consistait, se composait","The old collection consisted of over three hundred rare books."
2923,fastened,"attacha, fixa","She fastened her coat tightly against the bitter cold of the wind."
2924,dearest,"le plus cher, bien-aimé","She sat down to write a long letter to her dearest friend."
2925,scale,"échelle, gamme, écailles, escalader","She had never faced a challenge of such an enormous scale before."
2926,furnish,"meubler, fournir, équiper","She managed to furnish the old cottage very beautifully on a small budget."
2927,respects,"respects, égards, respecte","She pays her respects to all those who came before her."
2928,vanished,"disparut, s'évanouit","He vanished without trace before she could say a single word."
2929,vanity,"vanité, futilité","She had no vanity whatsoever and lived a wonderfully simple life."
2930,hostile,"hostile, inamical","She tried very hard not to appear hostile despite her deep feelings."
2931,balance,"équilibre, solde, balance","She kept a very careful balance between her work and her personal life."
2932,ranks,"rangs, classes, se classe","She rose through the ranks of the organisation with remarkable speed."
2933,doubtful,"douteux, incertain","She was very doubtful that the plan would succeed at first."
2934,ministers,"ministres, pasteurs","Several senior ministers attended the very important ceremony."
2935,root,"racine, origine, enraciner","She tried to get to the very root of the difficult problem."
2936,flash,"éclair, flash, briller","She had a sudden flash of inspiration in the middle of the night."
2937,breeze,"brise, vent léger","A warm breeze drifted in through the wide open window."
2938,data,"données, informations","She analysed all the available data very carefully before concluding."
2939,responsibility,"responsabilité","She took on the full responsibility for the success of the project."
2940,pace,"pas, rythme, allure","She set a very steady and comfortable pace throughout the long journey."
2941,intervals,"intervalles, pauses","She rested at regular intervals during the very long mountain walk."
2942,reminded,"rappela, a rappelé","She reminded him gently of his promise to attend the ceremony."
2943,zeal,"zèle, ardeur, enthousiasme","She approached every new task with enormous zeal and energy."
2944,burnt,"brûlé, roussi","The old letters were completely burnt in the fire that night."
2945,jumped,"sauta, a sauté","She jumped to her feet the moment she heard the exciting news."
2946,rival,"rival, concurrent, rivaliser","She had no real rival in her chosen and very demanding field."
2947,submit,"soumettre, se soumettre","She was asked to submit her work by the end of the following week."
2948,occasional,"occasionnel, ponctuel","She made occasional visits to the old city she had loved so much."
2949,originally,"à l'origine, initialement","She had originally planned to stay for only a few short days."
2950,opportunities,"opportunités, occasions","She made the very most of every opportunity she was ever given."
2951,physician,"médecin, docteur","The old physician had cared for the family for over thirty years."
2952,job,"travail, emploi, tâche","She did her job with enormous dedication and complete professionalism."
2953,deadly,"mortel, fatal, extrêmement","She had a deadly serious expression as she read the old letter."
2954,bride,"mariée, jeune mariée","The bride walked slowly and gracefully down the long aisle."
2955,pleasures,"plaisirs, joies","She found her greatest pleasures in books, music and long walks."
2956,introduction,"introduction, présentation","The introduction to her new book was widely praised by critics."
2957,inquiry,"enquête, demande de renseignement","She launched a very thorough inquiry into the whole matter."
2958,independence,"indépendance, autonomie","She valued her independence above almost everything else in life."
2959,gesture,"geste, signe","She made a small and very warm gesture of welcome and friendship."
2960,unconscious,"inconscient, évanoui","She was completely unconscious of the effect she had on everyone."
2961,daring,"audacieux, osé, hardiesse","She made a very daring and bold decision that changed everything."
2962,darling,"chéri, adoré, favori","She wrote a long and loving letter beginning with my dearest darling."
2963,travelling,"voyageant, en déplacement","She spent several very happy years travelling through distant countries."
2964,earnestly,"sincèrement, sérieusement","She earnestly believed that things would eventually get much better."
2965,tales,"contes, récits, histoires","She told the most wonderful tales to the delighted children."
2966,sincere,"sincère, vrai, profond","She offered her most sincere and heartfelt thanks to everyone."
2967,publication,"publication, édition","The publication of her first book was a very momentous occasion."
2968,pleasing,"plaisant, agréable, qui plaît","She had a very pleasing and quietly confident manner about her."
2969,fed,"nourri, alimenté","She fed the birds in her garden every single morning without fail."
2970,eastern,"oriental, de l'est","She had always been drawn to the cultures of the eastern world."
2971,puts,"met, place, pose","She always puts the needs of others before her own comfort."
2972,student,"étudiant, élève","She was considered an exceptionally gifted and dedicated student."
2973,appearing,"apparaissant, paraissant","She was appearing more confident with every passing day."
2974,comparison,comparaison,"There is simply no comparison between the two very different approaches."
2975,boots,"bottes, bottines","She pulled on her old walking boots and set off into the hills."
2976,slip,"glisser, se glisser, erreur","She made a small and understandable slip in her otherwise perfect speech."
2977,virtues,"vertus, qualités","She possessed many remarkable and very admirable virtues."
2978,offices,"bureaux, fonctions, offices","She visited the offices of the organisation for the very first time."
2979,romantic,"romantique, idéaliste","She had a wonderfully romantic and optimistic view of the world."
2980,indicated,"indiqua, a indiqué","She indicated very clearly which direction she intended to take."
2981,invitation,invitation,"She received a very unexpected and very welcome invitation that morning."
2982,commander,"commandant, chef","The old commander had led his men with great skill and courage."
2983,betrayed,"trahi, a trahi","She felt deeply betrayed by someone she had completely trusted."
2984,chest,"poitrine, coffre","She kept all her precious letters in an old wooden chest."
2985,supplies,"provisions, fournitures, approvisionne","She made sure all the necessary supplies were ready in advance."
2986,impressed,"impressionné, frappé","She was very impressed by the quality of the work presented."
2987,procession,"procession, défilé","She watched the long procession pass slowly through the old streets."
2988,external,"externe, extérieur","She tried not to be influenced by external pressures of any kind."
2989,defeat,"défaite, vaincre","She refused to accept defeat and started all over again."
2990,destined,"destiné, voué","She felt she was destined to spend her life among books."
2991,longing,"désir ardent, nostalgie, languissant","She felt a deep longing for the quiet life she had left behind."
2992,pressing,"pressant, urgent, appuyant","She had several very pressing matters to attend to that morning."
2993,federal,"fédéral","Several federal agencies were involved in the very complex investigation."
2994,sixteen,seize,"She began writing her first novel at the age of sixteen."
2995,vengeance,"vengeance, représailles","She sought justice rather than personal vengeance for what had happened."
2996,swiftly,"rapidement, promptement","She swiftly and efficiently dealt with every matter on her list."
2997,covering,"couvrant, recouvrant, couverture","She was covering the old table with a beautiful white cloth."
2998,seats,"sièges, places","She reserved two seats at the very front of the old theatre."
2999,institutions,"institutions, établissements","She believed deeply in the value of strong democratic institutions."
3000,combined,"combiné, réuni, conjugué","The combined efforts of the whole team produced remarkable results."
3001,club,"club, association, massue","She joined a small literary club that met every Thursday evening."
3002,absorbed,"absorbé, a absorbé","She was completely absorbed in her book and heard nothing at all."
3003,wire,"fil, câble, télégramme","She sent an urgent wire to her family with the good news."
3004,sensation,"sensation, impression","The cold water produced an immediate and very refreshing sensation."
3005,accused,"accusa, accusé","She was wrongly accused of something she had never done."
3006,elsewhere,"ailleurs, autre part","She decided to seek her fortune elsewhere after many difficult years."
3007,conflict,"conflit, lutte, être en conflit","She always tried to avoid any unnecessary conflict with others."
3008,entertained,"divertit, reçut, envisagea","She entertained her guests with wonderful stories all evening."
3009,peaceful,"paisible, tranquille","She found a very peaceful spot by the river to sit and read."
3010,products,produits,"She used only natural and locally sourced products in her cooking."
3011,dies,"meurt, dés, matrices","Everything that lives eventually dies but memory lives forever."
3012,fourteen,quatorze,"She had been living in the same house for fourteen years."
3013,vigorous,"vigoureux, énergique, robuste","She made a very vigorous and passionate defence of her position."
3014,prize,"prix, récompense, chérir","She won the prestigious literary prize for the third time."
3015,stupid,"stupide, bête, idiot","It would be very stupid to ignore such sound and experienced advice."
3016,fetch,"aller chercher, rapporter","She went to fetch a cool glass of water from the kitchen."
3017,perfection,perfection,"She always strived for perfection in everything she ever did."
3018,dirty,"sale, malpropre, salir","She rolled up her sleeves and was not afraid of getting dirty."
3019,acknowledged,"reconnut, admit, salua","She acknowledged the mistake immediately and apologised sincerely."
3020,customs,"douanes, coutumes, habitudes","She respected all the local customs wherever she travelled."
3021,helpless,"impuissant, sans défense","She felt completely helpless in the face of such great suffering."
3022,whisper,"chuchotement, murmure, chuchoter","She heard a faint whisper coming from the far end of the corridor."
3023,curse,"malédiction, juron, maudire","She considered her extraordinary sensitivity both a gift and a curse."
3024,yonder,"là-bas, là (archaïque)","She pointed to the old tower standing yonder on the hill."
3025,admired,"admira, a admiré","She was widely admired for her courage and quiet determination."
3026,regions,"régions, zones","She had explored many very remote and beautiful regions of the world."
3027,stiff,"raide, rigide, difficile","She felt very stiff after the long and uncomfortable train journey."
3028,outward,"extérieur, apparent, vers l'extérieur","She maintained a very calm outward appearance despite her feelings."
3029,sunk,"coulé, enfoncé, abattu","Her heart sank when she finally understood the full situation."
3030,correspondence,"correspondance, lettres","She kept up a very regular correspondence with her old friends."
3031,beard,barbe,"The old man stroked his long grey beard thoughtfully."
3032,hither,"ici, par ici (archaïque)","She beckoned him hither with a warm and welcoming smile."
3033,studies,"études, travaux, étudie","She pursued her studies with remarkable dedication and great passion."
3034,villages,villages,"She had lived in several very small and quiet villages during her life."
3035,railway,"chemin de fer, ferroviaire","She loved to travel through the countryside by railway."
3036,largest,"le plus grand, le plus important","She donated the largest single contribution to the local charity."
3037,dollar,dollar,"She found a crumpled dollar bill tucked inside the old book."
3038,musical,"musical, mélodieux","She came from a very talented and deeply musical family."
3039,model,"modèle, maquette, mannequin","She served as a role model for many younger people in her field."
3040,coarse,"grossier, rude, gros","She could never tolerate coarse or unkind behaviour of any kind."
3041,mild,"doux, léger, clément","She spoke in a very mild and carefully measured tone of voice."
3042,indirectly,indirectement,"She indirectly suggested that a change of approach might be wise."
3043,motives,"motifs, mobiles, motivations","She never questioned the motives of those who offered her help."
3044,preparations,"préparatifs, préparations","She completed all the necessary preparations well ahead of schedule."
3045,washed,"lava, a lavé","She washed her hands carefully before beginning to prepare the meal."
3046,adding,"ajoutant, additionnant","She kept adding small but very important details to her account."
3047,grasp,"saisir, comprendre, emprise","She had a very firm grasp of all the key issues involved."
3048,composition,"composition, rédaction","She admired the elegant composition of the beautiful old painting."
3049,modest,"modeste, sobre, pudique","Despite her great success she remained a very modest person."
3050,pays,"paye, récompense, pays","Honesty always pays in the end however difficult it may seem."
3051,flashed,"brilla, traversa l'esprit","A brilliant idea suddenly flashed through her mind."
3052,amused,"amusé, diverti","She was greatly amused by the whole ridiculous misunderstanding."
3053,closer,"plus proche, plus près","She moved closer to the fire to warm her cold hands."
3054,perpetual,"perpétuel, continuel, éternel","She lived in a state of perpetual wonder at the world around her."
3055,harmony,"harmonie, accord","She believed that all people could live together in perfect harmony."
3056,counted,"compta, a compté","She counted on him completely and he never let her down."
3057,intend,"avoir l'intention, vouloir","She did not intend to cause any offence with her honest words."
3058,fires,"feux, incendies, renvoie","She sat beside one of the warming fires on the cold winter evening."
3059,flood,"inondation, flot, inonder","A flood of memories came rushing back when she saw the old house."
3060,establish,"établir, fonder","She worked very hard to establish a very strong reputation in her field."
3061,angels,anges,"She believed that some people were simply angels sent to help others."
3062,hesitated,"hésita, a hésité","She hesitated for a long moment before giving her final answer."
3063,confused,"confus, désorienté, a confondu","She felt confused by the very unexpected and complicated turn of events."
3064,enjoyment,"plaisir, joie","She derived enormous enjoyment from long walks in the open countryside."
3065,flour,farine,"She measured out the flour very carefully before beginning to bake."
3066,wars,guerres,"She had studied the causes and consequences of many great wars."
3067,monarch,"monarque, souverain","The beloved monarch had reigned wisely for over fifty years."
3068,messenger,"messager, porteur","The messenger arrived breathless and handed over the sealed letter."
3069,tradition,"tradition, coutume","She kept alive many very old and beautiful local traditions."
3070,stole,"vola, déroba, étole","She quietly stole away before anyone noticed she had gone."
3071,resting,"se reposant, posé, reposant","She spent the afternoon resting after the long and tiring journey."
3072,talent,"talent, don","She had an extraordinary natural talent that she worked very hard to develop."
3073,advised,"conseilla, a conseillé","She was strongly advised to seek professional help without delay."
3074,narrative,"récit, narration, narratif","She had a wonderful gift for compelling narrative and vivid description."
3075,exclusion,"exclusion, rejet","She believed strongly in inclusion and fought hard against any exclusion."
3076,stroke,"coup, caresse, stroke, attaque","She completed the portrait with one final and confident stroke of the brush."
3077,discipline,"discipline, rigueur","She maintained a very strong sense of discipline throughout her career."
3078,mud,"boue, vase","She walked through the thick mud without complaining at all."
3079,thunder,"tonnerre, gronder","She loved to listen to the sound of thunder rolling over the hills."
3080,liberal,"libéral, généreux, large","She had a very liberal and open-minded attitude towards new ideas."
3081,pound,"livre sterling, livre, marteler","She paid every last pound she owed without any hesitation."
3082,feature,"caractéristique, trait, présenter","The most striking feature of the old house was its enormous garden."
3083,rent,"loyer, déchirer, louer","She paid her rent punctually on the very first day of every month."
3084,hint,"allusion, soupçon, laisser entendre","She dropped a very gentle hint that she would appreciate some help."
3085,yielded,"céda, a produit","She never yielded to pressure when she knew she was right."
3086,modification,"modification, changement","Only a very minor modification was needed to improve the plan."
3087,recalled,"rappela, se souvint","She recalled with great fondness her very first visit to the city."
3088,charity,"charité, bienfaisance, générosité","She gave generously to charity throughout her entire life."
3089,observations,"observations, remarques","Her observations were always precise and very well informed."
3090,strangely,"étrangement, bizarrement","She felt strangely calm despite the very difficult circumstances."
3091,appointment,"rendez-vous, nomination","She arrived precisely on time for her very important appointment."
3092,alter,"modifier, changer, altar","She decided to alter her plans significantly at the very last moment."
3093,conceive,"concevoir, imaginer","She could not conceive of giving up despite all the enormous difficulties."
3094,gas,"gaz, essence","She could smell gas coming from somewhere in the old kitchen."
3095,committee,"comité, commission","She was elected chair of the important committee by a large majority."
3096,sheet,"drap, feuille, nappe","She placed a clean white sheet of paper on the old wooden desk."
3097,citizen,citoyen,"She was a proud and responsible citizen of her beloved country."
3098,planted,"planta, a planté","She planted a beautiful rose bush in memory of her dear friend."
3099,starting,"démarrant, commençant","She was starting to feel very excited about the new opportunity."
3100,tables,"tables, tableaux","She arranged the tables beautifully for the very important dinner."
3101,weapons,armes,"She believed that words could be the most powerful of all weapons."
3102,neglected,"négligea, négligé","She had neglected her own needs for far too long and needed rest."
3103,farmer,"fermier, agriculteur","The old farmer had worked the same land for over fifty years."
3104,dwelt,"habita, s'attarda","She dwelt at length on the most important and interesting details."
3105,cloak,"cape, manteau, dissimuler","She pulled her old cloak tightly around her in the cold night air."
3106,arrested,"arrêta, interpellé","She was deeply shocked when she heard that he had been arrested."
3107,roses,roses,"She grew the most beautiful roses in the whole neighbourhood."
3108,jealousy,"jalousie, envie","She never allowed jealousy to cloud her judgment or her kindness."
3109,instruction,"instruction, enseignement","She followed every instruction very carefully and without complaint."
3110,intellect,"intellect, intelligence","She had a very powerful and wide-ranging intellect that impressed everyone."
3111,roots,"racines, origines","She never forgot her roots however successful she became in life."
3112,confessed,"avoua, a confessé","She finally confessed the truth after many long and difficult years."
3113,plains,plaines,"She gazed across the wide and empty plains stretching to the horizon."
3114,primitive,"primitif, rudimentaire","The conditions were very primitive but she adapted remarkably well."
3115,silently,"silencieusement, en silence","She walked silently through the empty rooms of the old house."
3116,namely,"à savoir, c'est-à-dire","She had one very important quality, namely her extraordinary patience."
3117,behalf,"nom, intérêt, compte","She spoke on behalf of everyone who had been unable to attend."
3118,prayed,"pria, a prié","She prayed quietly each morning for the wellbeing of those she loved."
3119,clock,"horloge, pendule","She glanced at the old clock on the mantelpiece and sighed quietly."
3120,climbed,"grimpa, a escaladé","She climbed the steep hill every morning to watch the sunrise."
3121,reserve,"réserve, retenue, réserver","She maintained a very dignified reserve in all public situations."
3122,judges,"juges, juge, apprécie","She is one of the most respected judges of literature of her time."
3123,revolution,"révolution, changement radical","The revolution brought about enormous and very rapid changes."
3124,proposition,"proposition, offre","She considered the proposition very carefully before giving her reply."
3125,arrange,"arranger, organiser","She managed to arrange everything perfectly at very short notice."
3126,mixture,"mélange, mixture","She prepared a very unusual mixture of ingredients for the old recipe."
3127,score,"partition, score, vingtaine, marquer","She played the entire score from memory without a single mistake."
3128,gardens,jardins,"She spent long happy hours working in the beautiful old gardens."
3129,engagement,"fiançailles, engagement, rendez-vous","She announced her engagement to her closest friends and family."
3130,roused,"éveilla, provoqua","She was roused from a very deep sleep by a strange noise."
3131,wrapped,"enveloppé, emmitouflé","She wrapped the old book very carefully in a clean white cloth."
3132,situated,"situé, placé","The old cottage was very beautifully situated at the edge of the forest."
3133,gloom,"obscurité, tristesse, morosité","She refused to let gloom take hold however difficult things became."
3134,area,"zone, région, domaine","She had lived in the same area for her entire adult life."
